Время, сек;Rz_L, Н;Rz_R, Н;Rx, Н
2,93;21946,7;20823,6;650
2,94;21679;20876,5;650
2,95;21880,4;20773,7;650
2,96;22188;20707,3;650
2,97;22073,3;20698,2;650
2,98;21833,9;20773,9;650
2,99;21625,2;20774,8;650
3;21619,9;20770,2;650
3,01;21896,2;20670,3;650
3,02;22013,9;20614,4;650
3,03;21985,7;20630,6;650
3,04;21666;20672,8;650
3,05;21599,8;20675,9;650
3,06;21832;20620;650
3,07;21808,2;20578,9;650
3,08;21874;20569,1;650
3,09;21835,6;20550,4;650
3,1;21726;20563;650
3,11;21719,8;20601,4;650
3,12;21823,4;20550,4;650
3,13;21840;20488,7;650
3,14;21918,8;20477,2;650
3,15;21708,1;20551,5;650
3,16;21730,2;20531,2;650
3,17;22066,5;20409,9;650
3,18;21958,3;20452,3;650
3,19;21725,9;20491,2;650
3,2;21763,2;20492,9;650
3,21;21954,6;20430,5;650
3,22;22088,5;20385,6;650
3,23;21938,9;20426,4;650
3,24;21808,6;20473;650
3,25;21957,3;20426,5;650
3,26;22102,5;20370,1;650
3,27;22113,3;20393,2;650
3,28;21918;20418,3;650
3,29;21966,6;20431,2;650
3,3;22128;20391,4;650
3,31;22202,1;20343,2;650
3,32;22066,7;20383,4;650
3,33;22019,4;20433,7;650
3,34;22124,4;20361,9;650
3,35;22240,5;20366;650
3,36;22169;20392,5;650
3,37;22056,8;20355,9;650
3,38;22146,1;20404,2;650
3,39;22245,1;20404,4;650
3,4;22222,1;20338,5;650
3,41;22102;20382,4;650
3,42;22116,6;20397,1;650
3,43;22214,8;20379,9;650
3,44;22234,9;20372,9;650
3,45;22172,6;20410,9;650
3,46;22085,7;20368;650
3,47;22129,8;20386,6;650
3,48;22237,9;20423,5;650
3,49;22204,8;20387,5;650
3,5;22104,9;20410,6;650
3,51;22078,1;20417,1;650
3,52;22147,8;20408,7;650
3,53;22192;20434,5;650
3,54;22146,9;20431;650
3,55;22094,2;20420,9;650
3,56;22107,9;20446,8;650
3,57;22124,8;20449,9;650
3,58;22133,6;20468,3;650
3,59;22107,7;20480,8;650
3,6;22091,3;20492,2;650
3,61;22085,8;20486,2;650
3,62;22104,9;20501;650
3,63;22111;20526,8;650
3,64;22091,1;20526,5;650
3,65;22075,3;20540,7;650
3,66;22076;20562,5;650
3,67;22077,2;20566,2;650
3,68;22065,4;20581;650
3,69;22047;20592,3;650
3,7;22074,8;20619,5;650
3,71;22042,7;20630,3;650
3,72;22040,3;20639,4;650
3,73;22024,6;20652,1;650
3,74;22002,4;20665,4;650
3,75;21999,8;20683,3;650
3,76;22002,2;20709,5;650
3,77;21968,8;20724,2;650
3,78;21977,7;20744,2;650
3,79;21929,8;20747,4;650
3,8;21923,6;20769,3;650
3,81;21905,3;20784,8;650
3,82;21877,6;20787,3;650
3,83;21861,1;20816,6;650
3,84;21855,4;20833,7;650
3,85;21847,2;20855,9;650
3,86;21829;20868,4;650
3,87;21804,4;20888,9;650
3,88;21781,4;20907,6;650
3,89;21759,1;20917;650
3,9;21740,2;20945,7;650
3,91;21707,7;20951,6;650
3,92;21686,6;20974,2;650
3,93;21658,2;20983,8;650
3,94;21651,4;21017,2;650
3,95;21617,4;21026,6;650
3,96;21602,8;21057;650
3,97;21588,1;21075,2;650
3,98;21570,1;21105,2;650
3,99;21538,7;21119,1;650
4;21524,6;21139;650
4,01;21492,2;21155,6;650
4,02;21471,1;21179,6;650
4,03;21461,3;21201,2;650
4,04;21432,2;21224,7;650
4,05;21415,4;21255,7;650
4,06;21399,6;21280;650
4,07;21365,9;21290,7;650
4,08;21360,3;21344,8;650
4,09;21330,1;21346;650
4,1;21312,8;21380,6;650
4,11;21294,7;21413,1;650
4,12;21277,9;21432,1;650
4,13;21254,4;21475,4;650
4,14;21227,7;21489,7;650
4,15;21216,2;21524,4;650
4,16;21200,3;21578,8;650
4,17;21185,4;21589,9;650
4,18;21162,7;21619,2;650
